Image;PostLink;Content;Type;Timestamp;Reactions;Comments;Shared;Clicks;LinkClicks;Impressions;Impressions (Organic);Impressions (Paid);Reach;Reach (Organic);Reach (Paid);VideoViews (Organic);VideoViews (Paid);VideoTimeWatched;Engagement;Spent
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/333450058_703874534762302_533049860512282054_n.jpg?stp=dst-jpg_s130x130&_nc_cat=101&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeG2YR3de-Mq7IQHWEhobxD4y-IumAk07gXL4i6YCTTuBeDYPrN_fSPojGBfYxdq3so&_nc_ohc=Iglm6wjIY4MAX-jGrLU&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAylZehTMZ87rkbkOEUHXJfimvKJsOodF6NS90I7FY0sw&oe=64312A84";"https://facebook.com/105921658046/posts/10162543830608047";"¡Llegó el dúo Baglietto-Vitale! El sonido del piano se combina con una voz inigualable para que suene ""Naranjo en flor"" en la Cumbre Mundial del Tango.

Disfrutá lo mejor de #FestivalPaís en www.tvpublica.com.ar";"video";2023-02-28 23:11;246;10;55;254;2;13451;13451;0;13044;13044;0;4257;0;8;"43.31";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/323742073_957672851888339_6158557938631542871_n.jpg?stp=dst-jpg_s130x130&_nc_cat=103&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeGf7wX9XhEqKBH8kVoLFAQBD62QfO_pzYcPrZB87-nNhxzrp46olIUxPNN6t8Jnots&_nc_ohc=QmWnnF6bH0wAX_aMKio&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAcWHtQkwYzlUVkpdtacWo6vmg8QhmBQR_op2DrY4fSmg&oe=64326F82";"https://facebook.com/105921658046/posts/10162543810153047";"¡Baila Zárate, baila ""Junta Brava""! Al ritmo del bandoneón, la compañía de baile interpreta ""Canaro en París"".

Mirá #FestivalPaís en www.tvpublica.com.ar";"video";2023-02-28 22:59;20;2;1;48;2;4363;4363;0;4157;4157;0;978;0;3;"17.08";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/333868606_188532930485942_9088820463518308494_n.jpg?stp=dst-jpg_s130x130&_nc_cat=100&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeH8AuUi90ieGVGb-nXYuGe9HQQC-34NDScdBAL7fg0NJxmh53hxt-xQGQdV_eAn-Mc&_nc_ohc=E9yKhCC70UMAX9uDJyr&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAcFtMgw3YZi5nhO1MgJ3grNXiKJKTmkIyuINoGZcgQ8w&oe=6431CFF2";"https://facebook.com/105921658046/posts/10162543764793047";"El bandoneón, el violín y el violonchelo se reúnen para que suene un clásico tanguero en esta noche festivalera. Ariel Pirotti Cuarteto interpreta ""Libertango"".

Reviví la Cumbre Mundial del Tango de la mano de #FestivalPaís en www.tvpublica.com.ar";"video";2023-02-28 22:33;40;1;8;74;1;6283;6283;0;6209;6209;0;1504;0;4;"19.81";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/322822744_607334727872846_3715119197144520628_n.jpg?stp=dst-jpg_s130x130&_nc_cat=105&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeHqAn4lFK-4GEHLG-RhLiO-xLkuuEsOL-7EuS64Sw4v7obhgMCbuUxEd9gmiJFXX4U&_nc_ohc=yvbUHBGoRW8AX8rRHQV&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfAIcIqRfhGFgQpPmWD123R-WPrRtIrJFNZPUV_iQvtDLQ&oe=643281D5";"https://facebook.com/105921658046/posts/10162543589748047";"Flor Paz se suma a esta previa festivalera interpretando ""Quiero nombrar a mi pago"", una canción que la conecta con sus raíces.

Sumate a #FestivalPaís en www.tvpublica.com.ar";"video";2023-02-28 20:49;83;2;12;112;0;8839;8839;0;8695;8695;0;2600;0;6;"24.04";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/323530628_1953356231675700_2470792363947923074_n.jpg?stp=dst-jpg_s130x130&_nc_cat=106&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeF82-h59E3N7Fxq_BsZ07WFcKziHYK5xQdwrOIdgrnFB451YpTzxVGRM9SXG-xgR7E&_nc_ohc=RM16Cin-j8oAX89nNYp&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfC7-HVZQspbG0d_5drzh8UcBQahNNEGwWh3-QqwlSOHrQ&oe=6431C1D8";"https://facebook.com/105921658046/posts/10162543479483047";"""No sesionar fue una extorsión de Juntos por el Cambio"" aseguró la diputada nacional Carolina Moises luego de que el bloque de la oposición no de el quórum en las sesiones del mes de diciembre.

Mirá #Desiguales junto a Luli Trujillo y Pablo Caruso en www.tvpublica.com.ar";"video";2023-02-28 19:55;33;5;3;79;1;4641;4641;0;4434;4434;0;1259;0;5;"27.06";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/334443496_765503764933654_7264639388543281781_n.jpg?stp=dst-jpg_s130x130&_nc_cat=103&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeGCeS-kGrFPoLNNqyIwSsJNoV4Vhl-ekEahXhWGX56QRoP_j8V1Hwpyg3myA0XG7W0&_nc_ohc=Du7u2F3FJw0AX-q4Fzj&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBRtzTXEHZQRMgoHBBmMwPajfXClbvvPOeWt8KHy9BbyA&oe=64311377";"https://facebook.com/105921658046/posts/10162543431743047";"""Hoy quedaron claros los dos modelos de país"" afirmó Leandro Santoro tras la votación del proyecto de moratoria previsional que permitirá que 800 mil personas se jubilen.

Sumate al debate de #Desiguales en www.tvpublica.com.ar";"video";2023-02-28 19:27;97;13;26;128;0;6160;6160;0;6138;6138;0;1857;0;7;"43.01";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/329198688_758368345505827_481836672443174820_n.jpg?stp=dst-jpg_s130x130&_nc_cat=109&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeHx7GcQLC2KfYbTDUgJtYzZEC6I-j60ZsoQLoj6PrRmyuJmagVz0oJMot0BtJh87P0&_nc_ohc=Pbfhn2XgGYAAX9iRYzt&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfB-kVNRIfkEtWjQgP8VtjQ7ezz3cwwEJVMAOoRaQdvYaw&oe=6432B369";"https://facebook.com/105921658046/posts/10162543320318047";"Nuestros científicos de cabecera te muestran cómo funciona la ""atmósfera de mente"". Sumate a esta #NocheDeMente con Coco Sily, Carla Conte y Diego Golombek en www.tvpublica.com.ar";"video";2023-02-28 18:26;13;0;0;45;0;5164;5164;0;4969;4969;0;1332;0;4;"11.67";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/325605421_106119142382035_5875141114439317571_n.jpg?stp=dst-jpg_s130x130&_nc_cat=102&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeFGtGPmyfaB3lcdtgycrP8rnvyqHIj-Pbue_KociP49uxB4Pr6PPnWzvLPJ7ueTUHo&_nc_ohc=EmQOigeoBJ8AX-ZZ7yI&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBdpwXGXbgn0cR-d7KgoWsFL1hKRFn-3tLk8ACxg8xWiw&oe=643253C3";"https://facebook.com/105921658046/posts/10162543315778047";"Sol Despeinada y Juan Manuel Cafferata conversan con Gabriela Seghezzo, Marcos Perearnau y Ernesto ""Lalo"" Paret sobre sobre qué función cumple hoy el sistema penitenciario, desde las 20:00, por el Twich de TEC y Televisión Pública 
 y en nuestro canal de YouTube https://youtube.com/live/ppwpE8vD6pY";"video";2023-02-28 18:22;5;1;0;18;1;1627;1627;0;1573;1573;0;500;0;2;"15.26";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/327529575_5661993273926555_5653871416694510549_n.jpg?stp=dst-jpg_s130x130&_nc_cat=101&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeE0z9ndLogOjfb2_Ep3oYT1LATA-ORpbfssBMD45Glt--EHGRcN6QSa98TElvVmJis&_nc_ohc=BZ5sOHCV_dQAX_99e2v&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAielWzAELJpSJ2sqVypAS3NAbvEUO1y0Ia_CckT12Ltg&oe=6431CD4D";"https://facebook.com/105921658046/posts/10162543221683047";"Lionel Messi, Emiliano Martínez y Lionel Scaloni hablaron sobre los premios ""The Best"" que entrega la FIFA.

#TVPNoticias | http://tvpublica.com.ar";"video";2023-02-28 17:37;137;11;11;177;0;9503;9503;0;9321;9321;0;2329;0;5;"36.05";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/329306410_696806208844404_1649257324995347595_n.jpg?stp=dst-jpg_s130x130&_nc_cat=105&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeEdV0a42aUjtkWlegmZlHiNdEcrdwmtS-F0Ryt3Ca1L4ciDdH8qfTiF0RifPoDFCoY&_nc_ohc=VcDYkAOxURMAX-tg_hv&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfBCfZTqhHN6xLNgHjj4sOo33c_FM5QdINEg8LZrpEAMpQ&oe=643176F0";"https://facebook.com/105921658046/posts/10162543216678047";"La titular de ANSES, Fernanda Raverta, habló tras la sanción de la Ley de Moratoria Previsional y dijo: ""Por esos 800 mil argentinos y argentinas que estaban esperando esta ley para poder ser parte del sistema previsional argentino a través de una jubilación"".

#TVPNoticias";"video";2023-02-28 17:35;472;99;136;999;0;20429;20429;0;20302;20302;0;8957;0;8;"84.03";"0"
