Id;Type;Image;URL;Content;Timestamp;Impressions (Organic);Impressions (Paid);Reach (Organic);Reach (Paid);Likes;Saved;Comments;Clicks;Interactions;Engagement;Video Views (Organic);Video Views (Paid);Post clicks (Paid);Post Interactions (Paid);Spend
"3070329377707809798_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/338443364_1212497022734728_5723152992903719582_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=ftTf572F_88AX9RXUVQ&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCvF54K9brcxmmV4V5jbAIWxD4x9_i3IOYHHsu47eku3A&oe=64DCAF74";"https://www.instagram.com/p/CqcAE09uFwG/";"Fútbol Femenino: Fecha 6 del Torneo Femenino YPF EN VIVO en tvpublica.com.ar

🗓️ Viernes 31 de Marzo

09:45 hs  @‌femeninouai vs @‌defeweb

15:30 hs @‌banfieldfutfem vs @‌belgranofem

🗓️ Sábado 01 de Abril

13:00 hs. @‌excursiofutfem vs @‌edelpfutbolfeme

🗓️ Domingo 02 de Abril

11:00 hs @‌caslaffemenino vs @‌elporvenirfemenino

13:10 hs @‌rosariocentralfutbolfem vs @‌caefemenino

15:30 hs @‌bocajrsoficial vs @‌carpfemenino

🗓️ Lunes 03 de Abril

15:00 hs @‌socialatleticotelevision vs @‌cahuracan";2023-03-31 00:03;6245;;5201;;54;2;2;"0";58;"11.15";;;;;
"3068691411541786883_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/338176282_229676189563111_7557126991673118235_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=SlbA7rzyo2sAX8wqgvo&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBOPQYKV-AR55N9IHP2pmG1qNOOQSxOwNu0eKsE3yk6xw&oe=64DC68E1";"https://www.instagram.com/p/CqWLpSGPYED/";"Él es Chucky. Ella es Juli. Y desde mañana, todos los miércoles a las 10:00, estarán #UnPocoPerdidos

@chuckyacerbi @julipresutto";2023-03-28 17:49;12479;;10442;;211;9;6;"0";226;"21.64";;;;;
"3068662567908854299_1417037267";"FEED_IMAGE";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/337911518_1571693679985396_6060477269233037799_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=Ljmo_XZNvw0AX8VM3rd&_nc_oc=AQkuteyFN37qryNM_G2uZLfk8F3OKxN-WoJemQMaicjy-ozSAjQqKuEMt08Sf3y3VrM&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCo9yCOQ1Rd62semxaQMLhFxORDqAM2QhcUB10XpsFbHg&oe=64DD7C48";"https://www.instagram.com/p/CqWFFjXvsob/";"La Selección sigue de fiesta y lo ves en TV Pública 🇦🇷 Argentina enfrenta a Curazao en el Estadio Madre de Ciudades de Santiago del Estero. La Mosca, La T y la M, Los Totora, Banda XXI, Q' Lokura y DJ Meme Bouquet se suman a los festejos. Y el himno estará a cargo de Los Manseros Santiagueños, Néstor Garnica y Las Mullieris

🎶 17:00 > La Previa con shows musicales

⚽️ 20:30 > Argentina vs Curazao, con relatos de @gustavokuffner, comentarios de @matiasmartin y @angela.lerena y la participación de @titifernandez2606 y @sofimmartinez

💬 23:00 > Zona Mixta. @miguelosovi y @rochicuenca analizan lo que dejó el partido de la Selección en Santiago del Estero

🔴 Miralo EN VIVO en www.tvpublica.com.ar";2023-03-28 16:51;23303;;22486;;1094;23;27;"0";1144;"50.88";;;;;
"3066265959212158211_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-2.cdninstagram.com/v/t39.30808-6/337676352_633569908602983_688709386315747913_n.png?stp=dst-jpg&_nc_cat=106&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=xfK_QhGbSUoAX8pmpPV&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAgWeYvbyQOJFu7GAk2f4dCFGjJ0bRk9Nfv9Wbt-Ko3IQ&oe=64DC913C";"https://www.instagram.com/p/CqNkKTlto0D/";"Fútbol Femenino: Fecha 05 del Torneo Femenino YPF EN VIVO en tvpublica.com.ar

🗓️ Sábado 25 de Marzo

12:50 @‌cahuracan vs @‌bocajrsoficial

15:20 @‌capfutfem vs @‌femeninocge

🗓️ Domingo 26 de Marzo

11:00 @‌defeweb vs @‌banfieldfutfem

15:00 @‌carpfemenino vs @‌caslaffemenino

18:00 @‌racingclub vs @‌femeninouai

🗓️ Martes 28 de Marzo

12:50 @‌elporvenirfemenino vs @‌rosariocentralfutbolfem";2023-03-25 08:30;8418;;6594;;74;5;4;"0";83;"12.59";;;;;
"3065750758533009078_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/337315831_129326940101875_8345663485041443778_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=Kkh9k8jtP-wAX9o61Dm&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfB51uGfZOcDxtEOGYS4UJPJX1Hj0p59WAqv2jsqy5z2LA&oe=64DD00D3";"https://www.instagram.com/p/CqLvBJkPo62/";"Argentina es ejemplo en el mundo por haber juzgado a la cúpula de la dictadura cívico militar. Con el correr de los años los procesos continuaron contra represores, civiles y cómplices del terrorismo de Estado. Algunos juicios llevan muchos años y los acusados mueren impunes. Los organismos de DDHH redoblan cada año el reclamo por mayor celeridad.";2023-03-24 15:26;14811;;12037;;423;30;8;"0";461;"38.3";;;;;
"3064406384988734505_1417037267";"FEED_IMAGE";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/336978648_1954537011548536_3775388793565598247_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=khAFwydaspsAX9OHDRR&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAFdf9f22tgExNo5kT9MQhW1Lts66dnLR9_vNcxpRfcZg&oe=64DE25C3";"https://www.instagram.com/p/CqG9V8IsUQp/";"La locura es total, ¡La Scaloneta vuelve a casa! 🇦🇷 El Monumental recibe a los campeones del mundo para enfrentar a la selección de Panamá en una fiesta única con transmisión de la TV Pública.

🎶 17:00 > La Previa con los shows de Fer Palacio, Los Totora, La T y la M y Ariel Ardit
 
⚽️ 20:30 > Argentina vs Panamá, con relatos de @gustavokuffner, comentarios de @matiasmartin y @angela.lerena y la participación de @titifernandez2606 y @sofimmartinez. En el entretiempo cantará Wos

💬 23:00 > Zona Mixta. @miguelosovi y @rochicuenca analizan todo lo que dejó el primer partido de la Selección tras su consagración en Qatar 

🔴 Miralo EN VIVO en www.tvpublica.com.ar";2023-03-22 18:55;36883;;35954;;2295;72;28;"0";2395;"66.61";;;;;
"3064256041412244471_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/337302168_1426028961266532_5584594364298755260_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=09VGCc1eRY8AX_rRpHv&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfB5GQsLzIbCZdXaLVDPwDLVTebMEeox1vrbJyhD2YM0uw&oe=64DDCC26";"https://www.instagram.com/p/CqGbKJxOLP3/";"Este viernes @sol_despeinada y @leylabecha conducen un stream especial por el Día de la Memoria, a 47 años del golpe cívico-militar de 1976.

Participan Nora Cortiñas de Madres de Plaza de Mayo Línea Fundadora, Mariana Herrera del @bndg_arg, @nietesorg, @txibuenosaires, @marlenewayar, @matiasmaximo, @zwaigmonica, Félix Bruzzone y estudiantes secundarios. 

Miralo en vivo este #24M desde las 10:00 en nuestros canales de YouTube y Twitch.

#40AñosDeDemocracia #MemoriaVerdadYJusticia #47AñosDelGolpeGenocida";2023-03-22 13:56;16958;;14455;;380;23;19;"0";422;"29.19";;;;;
"3060081081751988828_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-2.cdninstagram.com/v/t51.29350-15/335762137_936631414141825_7777446845702699180_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=fYcfZFy89RwAX8uU7sB&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCLg6CyfUyPN1GTVq2_cobYmHlIb6s2_5YEx-Fgedkf-w&oe=64DC4F25";"https://www.instagram.com/p/Cp3l4fluGpc/";"Fútbol Femenino: Fecha 4 del Torneo Femenino YPF EN VIVO en tvpublica.com.ar

🗓 Viernes 17 de Marzo
09:30 @‌femeninouai vs @‌capfutfem
15:30 @‌socialatleticotelevision vs @‌defeweb

🗓 Sábado 18 de Marzo
10:00 @‌caslaffemenino vs @‌cahuracan
15:30 @‌bocajrsoficial vs @‌BelgranoFem
17:00 @‌rosariocentralfutbolfem vs @‌carpfemenino

🗓 Domingo 19 de Marzo
15:00 @‌BanfieldFutFem vs @‌racingclub";2023-03-16 19:41;5510;;4283;;51;3;3;"0";57;"13.31";;;;;
"3055457830316871944_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/334561522_167281646109200_6606930149653266502_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=_dMvjF5FqakAX8X0JY3&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfA4P7HlhqJxeEvHdp2RByfUCqXhO3_9EcHMZwewYpu4cA&oe=64DD7349";"https://www.instagram.com/p/CpnKrVKOREI/";"⚽ Fútbol Femenino: Fecha 3 del Torneo Femenino YPF EN VIVO en tvpublica.com.ar

🗓️ Viernes 10 de Marzo
09:00 @elporvenirfemenino vs @independientefutfem
16:50 @racingclub vs @socialatleticotelevision

🗓️ Sábado 11 de Marzo
09:00 @lanusclublanusoficial vs @edelpfutbolfeme
16:50 @defeweb vs @bocajrsoficial

🗓️ Domingo 12 de Marzo
09:00 @femeninocge vs @femeninouai

🗓️ Lunes 13 de Marzo
16:50 @carpfemenino vs @excursiofutfem";2023-03-10 10:36;5924;;4569;;43;4;1;"0";48;"10.51";;;;;
"3052602401630996637_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/334572895_789782659419871_3765825803398013024_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=iCGN_HCGOiUAX94OXMx&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBe9XpK4ugqB-kZ4WB-OYuLaG3WoQs02PRhucmX2AQo2g&oe=64DCBE99";"https://www.instagram.com/p/CpdBbX9uEid/";"📸 ¡La Fiesta Nacional del Sol en 10 fotos!

☀ San Juan es tierra del sol, el vino y la alegría. La edición 2023 de la @fnsoloficial se desarrolló en el predio Costanera Complejo Ferial y contó con la participación de artistas nacionales e internacionales. 

🎉 Esta fiesta popular se transmitió en tvpublica.com.ar y en nuestro canal oficial de YouTube ¡Revivila dónde y cuándo quieras!

#FestivalPaís";2023-03-06 12:03;12900;;10874;;379;9;10;"0";398;"36.6";;;;;
