Id;URL;Image;Title;Date;Video Views (Organic);Video Views (Paid);Reach (Organic);Reach (Paid);Likes (Organic);Saved (Organic);Comments (Organic);Interactions (Organic);Interactions (Paid);Engagement;Post clicks (Paid);Spend
"3028234282986131545_1417037267";"https://www.instagram.com/reel/CoGcwk-DFBZ/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/328093105_503260201981595_1149786797059309073_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=qe-rLeZyHMcAX8pAX7G&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBnvTDT2fd9z3WR4E7a3Y_17yHVNXCNkuGed9MDPIWiEQ&oe=64DC6774";"Para cantar he nacido

💬 “Quiero invitar a un amiguito como a mí me invitaron hace 25 años, y revivir esa escena con un niño que a mí me emociona mucho” dijo @abelpintos antes de dar la bienvenida al escenario a @milomarotti

🎶 En la novena y última luna de Cosquín, Abel interpretó “Cuando llegue el alba” junto al pequeño gran cantor de 11 años. Milo Marotti se ganó la ovación de toda la Próspero Molina

#FestivalPaís #Cosquín #AbelPintos #MiloMarotti";2023-01-31 21:09;37350;;35826;;1887;75;42;2004;;"55.94";;
"3028224780538180394_1417037267";"https://www.instagram.com/reel/CoGamTIA3Mq/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/328848159_861686545091797_5958255632796174102_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=rHuSiNabXPMAX8V-Ruv&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD9FTAiPRHDMCmlULXfCq60yoBZe9bVFajFGFGsGnMokw&oe=64DCB410";"¡La banda del momento llegó a Cosquín Cuarteto!

@lakongaoficial la rompió en la primera noche del festival dedicado al tunga tunga.

#FestivalPaís @cosquincuarteto";2023-01-31 20:51;46932;;46325;;300;11;6;317;;"6.84";;
"3028201691028730649_1417037267";"https://www.instagram.com/reel/CoGVWTWATMZ/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/328317439_2390639407779332_8288262572125010346_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=mizxOsih8GIAX-vRS2p&_nc_oc=AQkt2-9DIqMZ0nffqkcvdbjFDjsvP_RTd5hxVMGg4MvO1u0AsQ8pGf_x1mUa-ED_YN4&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfB-UnheF2g3zqlX8t1vVKIvMPVF8jE5ZepzvQRX4XWlVg&oe=64DDC9DC";"El cuarteto copa la Plaza Próspero Molina durante dos noches en la segunda edición del Cosquín Cuarteto, festival dedicado exclusivamente al ritmo cordobés.

@magui_olave abrió la primera noche y hoy se presenta @ulisesbuenosoy. 

Miralo desde las 22:00 en vivo en www.tvpublica.com.ar";2023-01-31 20:29;8819;;8617;;106;3;3;112;;"13";;
"3028200082924367968_1417037267";"https://www.instagram.com/reel/CoGU-5rg_Bg/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/328025588_505232625101621_7500724984040873379_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=TKNx-qXJZrsAX_DNxoN&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfB8_U2yK-v_DOxyUoXkx3f-pkvuzASjDpvVL2oZ3CCN7w&oe=64DD19FB";"¿Querés jugar contra @flor.fdz una partida de #Ajedrez? Antes le tenés que ganar al patova bulletero ( @juliandoregger ) 

Todos los lunes conectate desde las 20.00 a YouTube o Twitch y demostrá tu talento en #Ag3";2023-01-31 20:02;6626;;6542;;61;2;2;65;;"9.94";;
"3028144531582379601_1417037267";"https://www.instagram.com/reel/CoGIWhdgmZR/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/331128890_906153567378270_2818855716707849367_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=DlvEkxJPWBoAX-bs032&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAeZJ1OQ72ZiOhFRAnVi-wscMHHBPadMZaXjgNfCqh0zg&oe=64DCD2AF";"Cumplir el sueño de bailar en Cosquín

La compañía de danza y malambo La Barbarie viajó a la capital nacional del folklore para desplegar su talento en un cuadro de boleadoras y malambo femenino.

#FestivalPaís";2023-01-31 18:16;13496;;12843;;320;7;16;343;;"26.71";;
"3028132268242770578_1417037267";"https://www.instagram.com/reel/CoGFkEVghqS/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/328308072_1393578261496124_3431762556329353423_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=8mWpBDar0VcAX-AFRg1&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfB4YbM3vof__iK7U4fwgXfKAxj_OGpItvHETsIcSzT33g&oe=64DCDFB5";"✨ Marianolla, filósofo contemporáneo: “Si no tomás decisiones, el cambio no llega”

⚡️Los jueves a las 20:00 @taniawed y @marianoanga hacen #HolaPaís. En vivo, en Twitch y en YouTube.";2023-01-31 17:49;11225;;10767;;93;11;1;105;;"9.75";;
"3027918115167183544_1417037267";"https://www.instagram.com/reel/CoFU3uvgqK4/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/328045395_1181435362763339_4555924220342956599_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=bmhAvo6AHu4AX_WAHMN&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD56wPe1gP0D7lbVGVyJA38DXLgy44lycI_60gV0K25gA&oe=64DC7D9B";"Luciano Arruga fue desaparecido por la Policía Bonaerense el 31 de enero de 2009. Tenía 16 años. En 2014, su cuerpo apareció enterrado como NN en el cementerio de La Chacarita. Hoy, su familia sigue reclamando juicio y castigo a todos los culpables, y un espacio para sanar.";2023-01-31 10:40;18638;;17684;;335;3;7;345;;"19.51";;
"3027595712364978968_1417037267";"https://www.instagram.com/reel/CoELkJvAqMY/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/328386766_130190826619666_2273807379188145371_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=TJm3YVPCaUYAX9ZQu5d&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfB0TY8yQhfoN4Ha4aya9Gt7dR3eDcVRFms6XjHesQMmkg&oe=64DD97A9";"""Con el cuarteto se bailan las penas""

@bandaxxi se presentó en la primera noche de Cosquín Cuarteto y hablamos con @luchobandaxxi después del show.

Mirá en vivo #FestivalPaís en www.tvpublica.com.ar";2023-01-31 00:09;6748;;6780;;156;2;6;164;;"24.19";;
"3027478310474093286_1417037267";"https://www.instagram.com/reel/CoDw3utAhLm/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/328481728_5676027995837246_8466233710296561343_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=QVJlZDfdJVoAX-m6Vip&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBR8rUNvUzQ2N3X1Pw6iFi6Xo3B7i1p7qxo4U2HdIYP0g&oe=64DD4C17";"@nahupennisi: “Agradecido a La K’onga por hacerme parte de su familia” 

Esta noche se presenta @lakongaoficial en la primera noche de Cosquín Cuarteto y Nahuel Penissi le mandó un saludo a sus amigos un ratito antes de que la Próspero Molina baile al ritmo del tunga-tunga.

Mirá #FestivalPaís en vivo en www.tvpublica.com.ar";2023-01-30 20:17;50370;;49617;;317;4;12;333;;"6.71";;
"3027461995772382902_1417037267";"https://www.instagram.com/reel/CoDtKUdAg62/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/328149304_3492561897728031_3105132772307631546_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=Vn-xYq40hIsAX_5Xdcl&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCD5_r3wYe2qbpZghqwDNLIQx8fDBOSfsqZmGdXXhJCYQ&oe=64DC4EE8";"🎶 ""Olvídala..."" ¡Arriba el lunes que llegaron @lospalmerasoficial! 🙌🏻 

La noche de Jesús María se iluminó con el público festivalero que bailó al ritmo de la cumbia.

🔴 Viví las fiestas populares de la mano de #FestivalPaís en tvpublica.com.ar";2023-01-30 19:39;10912;;11490;;138;4;2;144;;"12.53";;
"3027267353986569393_1417037267";"https://www.instagram.com/reel/CoDA56KgZSx/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/327979546_2388871904615833_5092278174752164114_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=z-hvmu9RJUgAX90oIaS&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCW6Jr3BEfthVKejrhQi4EqDJfhfFucuHnysOAdrfIeQA&oe=64DCE7EE";"¿Cómo juega #alphaZero? El módulo de código abierto  más fuerte sigue despertando asombro y fanáticos en el mundo ajedrecístico. 

En este video @ari_tok_ presenta su libro y nos explica cómo funciona. 

La comunidad del #Ajedrez se junta todos los lunes a las 20.00 en nuestro Twitch y YouTube.";2023-01-30 13:20;6833;;6906;;88;4;2;94;;"13.61";;
