Type;Post URL;Content;Timestamp;Media URL;Impressions (Organic);Impressions (Paid);Reach (Organic);Reach (Paid);Replies;Taps Back;Taps Forward;Exits
"VIDEO";"https://instagram.com/stories/tv_publica/3070988671768444953";"@taniawed @marianoanga";2023-03-31 21:53;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/DD481C24B308CB4ED83E5C79303863AC_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=106&vs=731708538700696_4157558269&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0RENDgxQzI0QjMwOENCNEVEODNFNUM3OTMwMzg2M0FDX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHRlprRlJRMnR6QXFtWThEQUVPTmtDaWR3ancxYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACby04T7jdHuPxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfDNtg3toJY7KhmLPuYvWiliZb2ljQPh4FkdakMX0kLUmw&oe=64296435&_nc_sid=ea0b6e&_nc_rid=1af10d0201";1003;;971;;0;15;800;119
"VIDEO";"https://instagram.com/stories/tv_publica/3070988671768444953";"@taniawed @marianoanga";2023-03-31 16:53;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/DD481C24B308CB4ED83E5C79303863AC_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=106&vs=731708538700696_4157558269&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0RENDgxQzI0QjMwOENCNEVEODNFNUM3OTMwMzg2M0FDX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHRlprRlJRMnR6QXFtWThEQUVPTmtDaWR3ancxYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACby04T7jdHuPxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfDNtg3toJY7KhmLPuYvWiliZb2ljQPh4FkdakMX0kLUmw&oe=64296435&_nc_sid=ea0b6e&_nc_rid=1af10d0201";1003;;971;;0;15;800;119
"VIDEO";"https://instagram.com/stories/tv_publica/3070812623919614499";;2023-03-31 16:03;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/02482A93E0AF3DA38800D852E02F978A_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=111&vs=142714385417823_1623214843&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzAyNDgyQTkzRTBBRjNEQTM4ODAwRDg1MkUwMkY5NzhBX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHSENsTnhTZDA4X1E4NGNJQUJKOFFxd1YzLXBqYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaOx5Gi4%2FabQRUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfAZ31BMnWcYYf2e4iB6uZfzRm1hUSG_8ehX4EbgDoFm5g&oe=64297AFA&_nc_sid=ea0b6e&_nc_rid=d4cdeb9f1e";989;;955;;1;14;780;120
"VIDEO";"https://instagram.com/stories/tv_publica/3070812623919614499";;2023-03-31 11:03;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/02482A93E0AF3DA38800D852E02F978A_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=111&vs=142714385417823_1623214843&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzAyNDgyQTkzRTBBRjNEQTM4ODAwRDg1MkUwMkY5NzhBX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHSENsTnhTZDA4X1E4NGNJQUJKOFFxd1YzLXBqYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaOx5Gi4%2FabQRUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfAZ31BMnWcYYf2e4iB6uZfzRm1hUSG_8ehX4EbgDoFm5g&oe=64297AFA&_nc_sid=ea0b6e&_nc_rid=d4cdeb9f1e";989;;955;;1;14;780;120
"VIDEO";"https://instagram.com/stories/tv_publica/3070617750104730527";;2023-03-31 09:36;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/32499259B61B06D05ACC274C9E3EB3AA_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=104&vs=170229365897392_3842004169&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzMyNDk5MjU5QjYxQjA2RDA1QUNDMjc0QzlFM0VCM0FBX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHREpQRlJRZUIzWXo2cllDQUtuZE1wUkFIbWtqYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbw1%2F2jn5mHQBUCKAJDMywXQCak3S8an74YEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfD0XkPVv7w2SOmmJeeWe-DfonV-QCyc6VuuIYgg-qV_hg&oe=642925A2&_nc_sid=ea0b6e&_nc_rid=2cc587c18b";1039;;1028;;1;13;818;126
"VIDEO";"https://instagram.com/stories/tv_publica/3070617750104730527";;2023-03-31 04:36;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/32499259B61B06D05ACC274C9E3EB3AA_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=104&vs=170229365897392_3842004169&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzMyNDk5MjU5QjYxQjA2RDA1QUNDMjc0QzlFM0VCM0FBX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHREpQRlJRZUIzWXo2cllDQUtuZE1wUkFIbWtqYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbw1%2F2jn5mHQBUCKAJDMywXQCak3S8an74YEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfD0XkPVv7w2SOmmJeeWe-DfonV-QCyc6VuuIYgg-qV_hg&oe=642925A2&_nc_sid=ea0b6e&_nc_rid=2cc587c18b";1039;;1028;;1;13;818;126
"VIDEO";"https://instagram.com/stories/tv_publica/3070240730426629945";;2023-03-30 21:07;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/9545A9EB1BE8686B4B1B0EF939AD7B88_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=102&vs=940329984078764_553362661&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzk1NDVBOUVCMUJFODY4NkI0QjFCMEVGOTM5QUQ3Qjg4X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHTndXR0JRcl9yRElGX01BQUJfT25FR0x4QUJiYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbe8Jq784HrPxUCKAJDMywXQCg9cKPXCj0YEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfAHh-TITSnLYrMUTxpLELCDSyhZFgPZc2sCfYIHN99YMg&oe=6427C95A&_nc_sid=ea0b6e&_nc_rid=f083d53a9a";1067;;1063;;0;42;888;142
"VIDEO";"https://instagram.com/stories/tv_publica/3070209155731155282";"@ramiropol @yeipi.90 @florucas @rokinni @lautimurguia_ @marianoanga @taniawed";2023-03-30 20:04;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/DB4B6BCBA3B1B1A099688B99FDE5879C_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=108&vs=3509070232640572_2877815094&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0RCNEI2QkNCQTNCMUIxQTA5OTY4OEI5OUZERTU4NzlDX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHTkRWTkJSY1NsbXh3Wk1BQVBpRldMRElOZlJhYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaWpoLX%2BbfIQBUCKAJDMywXQCJR64UeuFIYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfAbkmb1tlSB9D5D5BjaY3EsDS634x2TA2qecivQbcrJlA&oe=64283F36&_nc_sid=ea0b6e&_nc_rid=56ef933763";1160;;1145;;0;47;1051;84
"IMAGE";"https://instagram.com/stories/tv_publica/3070188080883838637";;2023-03-30 19:22;"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/338412453_615938936626412_1096725268161489217_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFxOLSRMsErtCMWTgiy0k-Y5dhqVnCpN4bl2GpWcKk3hjSpHycYVzEGkuW4j9_dYaE&_nc_ohc=IoO1-6NF2wsAX_WXInG&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfCaxekSJJUXexPHBGCZVQd-Jn8-kWI-MevdXmJIMFLZmA&oe=642B74B2";1759;;1709;;1;7;1269;204
"VIDEO";"https://instagram.com/stories/tv_publica/3070240730426629945";;2023-03-30 16:07;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/9545A9EB1BE8686B4B1B0EF939AD7B88_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=102&vs=940329984078764_553362661&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzk1NDVBOUVCMUJFODY4NkI0QjFCMEVGOTM5QUQ3Qjg4X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHTndXR0JRcl9yRElGX01BQUJfT25FR0x4QUJiYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbe8Jq784HrPxUCKAJDMywXQCg9cKPXCj0YEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfAHh-TITSnLYrMUTxpLELCDSyhZFgPZc2sCfYIHN99YMg&oe=6427C95A&_nc_sid=ea0b6e&_nc_rid=f083d53a9a";1067;;1063;;0;42;888;142
