Id;URL;Text;Timestamp;Impressions (Organic);Impressions (Paid);Favorites (Organic);Favorites (Paid);Retweets (Organic);Retweets (Paid);Replies (Organic);Replies (Paid);Quotes;Link Clicks (Organic);Link Clicks (Paid);Profile Clicks (Organic);Profile Clicks (Paid);Engagement;Video views (Organic);Video views (Paid)
"1620616980796432384";"https://twitter.com/a/status/1620616980796432384";"Momento único en la segunda noche de Cuarteto Cosquín con   ""intento"" interpretado por @UlisesBuenoSOY en #Córdoba.

Mirá #FestivalPaís en https://t.co/UZOlx7UTP4 https://t.co/CT3JoGI5fJ";2023-01-31 22:56;"3419";"0";"21";"0";"2";"0";;;;"3";"0";"27";"0";"15.5";"1560";"0"
"1620610843917389824";"https://twitter.com/a/status/1620610843917389824";"Todo Cosquín cantando ""Ahora mírame y dime lo que ves"" con @UlisesBuenoSOY en #Córdoba. 

Mirá #FestivalPaís en https://t.co/CkG5NHbnvO https://t.co/L1MpkpdMtT";2023-01-31 22:31;"3215";"0";"23";"0";"4";"0";"3";"0";"1";;;"10";"0";"12.75";"1357";"0"
"1620606968485535745";"https://twitter.com/a/status/1620606968485535745";"¡Todo Cosquín bailando cuarteto! Se subió @UlisesBuenoSOY e interpreto ""Las Alas de mi Amante"" en #Córdoba en la segunda noche de Cuarteto Cosquín 2023.

Mirá #FestivalPaís en https://t.co/UZOlx7VrEC https://t.co/wLzOv3Owg5";2023-01-31 22:16;"2744";"0";"11";"0";"3";"0";"1";"0";"1";"4";"0";"3";"0";"8.38";"1047";"0"
"1620599900760342528";"https://twitter.com/a/status/1620599900760342528";"¡La banda del momento llegó a Cosquín Cuarteto!

La K'onga la rompió en la primera noche del festival dedicado al tunga tunga.

#FestivalPaís @lakonga https://t.co/AR8BJTuB8J";2023-01-31 21:48;"3045";"0";"18";"0";"3";"0";;;;;;"8";"0";"9.52";"1222";"0"
"1620590773493456902";"https://twitter.com/a/status/1620590773493456902";"¡Cerramos hilo acá! Esperamos que hayan aprendido algo más que hace un rato. Nos volvemos a encontrar el próximo martes, a las 20:00, en el Twitch de @TEC_ar y @TV_Publica y en nuestro canal de YouTube. Mirá el programa completo acá ⬇️ https://t.co/AMtogIRijE";2023-01-31 21:12;"25297";"0";"4";"0";"1";"0";"1";"0";"1";"4";"0";"8";"0";"0.75";;
"1620590768573546497";"https://twitter.com/a/status/1620590768573546497";"Repasamos con @danielgm_77 los proyectos de ley que se presentaron para la provisión y que estos productos pasen ocupar el lugar que realmente deberían tener: un producto con efecto terapéutico y preventivo de daño y lesiones graves dermatológicas como los tumores malignos. https://t.co/MnHswySoaV";2023-01-31 21:12;"1459";"0";"5";"0";;;"1";"0";;;;"4";"0";"6.85";;
"1620590771400491009";"https://twitter.com/a/status/1620590771400491009";"Los protectores solares deberían ser ofrecidos por el estado en los hospitales y elaborados tanto en laboratorios privados como públicos promoviendo  acceso libre para la prevención de cáncer de piel. NO ES UN PRODUCTO COSMETICO (para nosotrxs)";2023-01-31 21:12;"31826";"0";"568";"0";"135";"0";"9";"0";"8";;;"40";"0";"23.88";;
"1620590754967207937";"https://twitter.com/a/status/1620590754967207937";"Dentro de todos los rayos emitidos por el Sol, los rayos UVB y UVA son peligrosos por los daños que pueden ocasionar en las células de nuestra piel. ¿Qué pasa con los protectores solares? Están clasificados como productos cosméticos ¿Lo son? https://t.co/zrmUOKJJcg";2023-01-31 21:11;"1089";"0";"6";"0";;;"1";"0";;;;"1";"0";"7.35";;
"1620590741847412737";"https://twitter.com/a/status/1620590741847412737";"Isla, Sol, verano, piel: podrían ser palabras de una canción de Luis Miguel, pero no. Estamos de hablando de ciudades como islas de calor y una posible/polémica solución: UNA MEDIA SOMBRA ARTIFICIAL. https://t.co/SYf7qp2iY8";2023-01-31 21:11;"987";"0";"5";"0";;;"1";"0";;;;;;"6.08";;
"1620590728501137408";"https://twitter.com/a/status/1620590728501137408";"Estamos charlando con @maalelozada y @danielgm_77  sobre cambio climático ¿Es realmente malo el efecto invernadero? ¿La temperatura global fue siempre la misma? ¿Vos sabes que no? Es necesario para sostener la vida tal cual la conocemos. https://t.co/nku9DRunG0";2023-01-31 21:11;"12521";"0";"7";"0";"1";"0";"1";"0";;;;"12";"0";"1.68";;
