Thumbnail;URL;Title;Date;Views;Streaming
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/415d695eb4e29d58d2e5_tvpublica_40855873993_1675205754//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1724401023";"Abro Hilo: Cuando (Cómo y Por Qué) Calienta el Sol - 31/01/2023";2023-01-31 17:55;"121";"7448"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/78555ac2de91a8dfd20b_tvpublica_47889152461_1675119713//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1723430701";"Jugadas, estrategia y más";2023-01-30 18:01;"208";"6444"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/d997f19eb4ea76711f6e_tvpublica_40830325337_1674773830//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1719381193";"Moda, tendencias y citas fallidas";2023-01-26 17:57;"151";"6413"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/5715d0064980782a866b_tvpublica_40815731193_1674515037//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1716487808";"#Ag3- Mano a mano con Fidel Ariel Tokman - Lichess.org";2023-01-23 18:04;"245";"6379"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/9b00678a4d1cc7ed9765_tvpublica_40795258217_1674169223//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1712445230";"#HolaPaís - Recorriendo la ciudad en bondiiii";2023-01-19 18:00;"112";"5908"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/26bb5649e2fcc279f5e5_tvpublica_40785747737_1673996418//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1710499148";"#AbroHilo - Reducción de riesgos y daños en el consumo de sustancias";2023-01-17 18:00;"383";"7001"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/8e454ecf950b6c6a656b_tvpublica_47810383101_1673910226//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1709569911";"Ag3";2023-01-16 18:03;"341";"5265"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/a6ab270b33838f5c6b47_tvpublica_47785416573_1673564587//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1705538364";"Turismo científico - Primer Abro Hilo de 2023";2023-01-12 18:03;"184";"5806"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/4649ec41f8a06aa3669c_tvpublica_40751227513_1673391615//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1703637455";"Turismo científico - Primer Abro Hilo de 2023";2023-01-10 18:00;"148";"6495"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/fc95c5f069bb84355b76_tvpublica_40751210249_1673391486//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1703635295";"Primer Ag3 de 2023 - 09/01/2023 Lichess.org";2023-01-10 17:58;"11";"0"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/6ffad2b2af18604ec882_tvpublica_40746818889_1673308410//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1702755253";"Primer Ag3 de 2023 - 09/01/2023 Lichess.org";2023-01-09 18:53;"115";"0"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/72c5e2e36953e309b988_tvpublica_40746565929_1673305228//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1702710369";"Primer Ag3 de 2023 - 09/01/2023 Lichess.org";2023-01-09 18:00;"107";"0"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/943943e2f31390d9dfa2_tvpublica_40726578121_1672959517//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1698795035";"Hola País: 05/01/2023";2023-01-05 17:58;"250";"6270"
